#Image                      Noise
SERPS_20160521_00044_450_EA3_mjybm_cr_sm.sdf  198.68
SERPS_20160721_00011_450_EA3_mjybm_cr_sm.sdf  129.09
SERPS_20160827_00017_450_EA3_mjybm_cr_sm.sdf  228.22
SERPS_20160929_00018_450_EA3_mjybm_cr_sm.sdf  215.27
SERPS_20170222_00081_450_EA3_mjybm_cr_sm.sdf  186.89
SERPS_20170322_00094_450_EA3_mjybm_cr_sm.sdf  116.45
SERPS_20170419_00036_450_EA3_mjybm_cr_sm.sdf  890.98
SERPS_20170518_00037_450_EA3_mjybm_cr_sm.sdf  60.87
SERPS_20170616_00021_450_EA3_mjybm_cr_sm.sdf  291.46
SERPS_20170714_00011_450_EA3_mjybm_cr_sm.sdf  396.84
SERPS_20170812_00022_450_EA3_mjybm_cr_sm.sdf  193.01
SERPS_20170912_00018_450_EA3_mjybm_cr_sm.sdf  229.22
SERPS_20171109_00012_450_EA3_mjybm_cr_sm.sdf  426.92
SERPS_20180310_00046_450_EA3_mjybm_cr_sm.sdf  241.09
SERPS_20180425_00018_450_EA3_mjybm_cr_sm.sdf  82.47
SERPS_20180614_00028_450_EA3_mjybm_cr_sm.sdf  277.18
SERPS_20180910_00013_450_EA3_mjybm_cr_sm.sdf  141.59
SERPS_20181022_00012_450_EA3_mjybm_cr_sm.sdf  170.49
SERPS_20190216_00037_450_EA3_mjybm_cr_sm.sdf  54.14
SERPS_20190316_00058_450_EA3_mjybm_cr_sm.sdf  55.46
SERPS_20190331_00078_450_EA3_mjybm_cr_sm.sdf  363.82
SERPS_20190418_00043_450_EA3_mjybm_cr_sm.sdf  60.1
SERPS_20190507_00056_450_EA3_mjybm_cr_sm.sdf  141.67
SERPS_20190524_00051_450_EA3_mjybm_cr_sm.sdf  398.45
SERPS_20190608_00042_450_EA3_mjybm_cr_sm.sdf  409.54
SERPS_20190711_00015_450_EA3_mjybm_cr_sm.sdf  126.13
SERPS_20190813_00016_450_EA3_mjybm_cr_sm.sdf  319.97
SERPS_20190827_00036_450_EA3_mjybm_cr_sm.sdf  432.67
SERPS_20190910_00023_450_EA3_mjybm_cr_sm.sdf  685.06
SERPS_20191005_00010_450_EA3_mjybm_cr_sm.sdf  64.12
SERPS_20191019_00010_450_EA3_mjybm_cr_sm.sdf  80.94
SERPS_20191102_00011_450_EA3_mjybm_cr_sm.sdf  644.92
SERPS_20200222_00079_450_EA3_mjybm_cr_sm.sdf  45.96
SERPS_20200307_00067_450_EA3_mjybm_cr_sm.sdf  112.45
DR21C_20200222_00088_450_ER3_mJybm_cr_sm.sdf:  46.77
DR21C_20200521_00056_450_ER3_mJybm_cr_sm.sdf:  424.57
DR21C_20200621_00020_450_ER3_mJybm_cr_sm.sdf:  240.24
DR21C_20200730_00044_450_ER3_mJybm_cr_sm.sdf:  66.27
DR21C_20200901_00025_450_ER3_mJybm_cr_sm.sdf:  38.91
DR21C_20201008_00023_450_ER3_mJybm_cr_sm.sdf:  290.19
